filename,width,height,class,xmin,ymin,xmax,ymax
BraTS2021_00166_22_png.rf.3d6d44f54889786997dfa182d823817e.jpg,240,240,tumors,59,65,137,124
BraTS2021_00674_5_png.rf.3d216478f245037b5ef52fcfddbb0f48.jpg,240,240,tumors,76,114,111,145
BraTS2021_01656_4_png.rf.3dfabaafd20aa8a670660cdfcb082d64.jpg,240,240,-,82,74,149,128

BraTS2021_01121_6_png.rf.3da4ad743c0e812d8013d26573132f51.jpg,240,240,tumors,79,53,188,109
BraTS2021_01542_20_png.rf.3d97d4e53e7af48c55f09a5805699bc7.jpg,240,240,tumors,96,128,191,187
BraTS2021_00820_8_png.rf.3d83bc5d4ba32fd01c0ef5754350d8f8.jpg,240,240,tumors,111,78,150,113
BraTS2021_01167_23_png.rf.3df5bb2c87d325407f88320ef67cbb80.jpg,240,240,tumors,102,127,177,181

BraTS2021_00324_4_png.rf.3de323922cb20c28503f11cc662dc12c.jpg,240,240,tumors,145,132,215,185
BraTS2021_00714_14_png.rf.3da9b36cac758d1c7002e8c48751bf66.jpg,240,240,tumors,34,111,145,189
BraTS2021_01289_7_png.rf.3e20d29c3269426398c10007dcd572f1.jpg,240,240,tumors,136,136,183,175
BraTS2021_00352_1_png.rf.3e6d8ae1adc29010c99be65d19d8b48c.jpg,240,240,tumors,123,71,173,112
BraTS2021_00085_5_png.rf.3da16d804980c9ba175453a956bf8460.jpg,240,240,tumors,132,140,159,162
BraTS2021_01058_0_png.rf.3d678296d71e1b627589a2e703964366.jpg,240,240,tumors,117,54,204,121
BraTS2021_01455_12_png.rf.3d8648e595942c828ab284338dfadbe7.jpg,240,240,tumors,49,101,157,174
BraTS2021_01455_12_png.rf.3e650e1d0fe1cde07f5d42fee69e74c7.jpg,240,240,tumors,36,102,149,178
BraTS2021_00250_10_png.rf.3d8fe3de1858a06aa933eb8fa8444bd5.jpg,240,240,tumors,110,62,164,99
BraTS2021_01199_7_png.rf.3d4a2f25b0aea2bae5798ff90dda6907.jpg,240,240,tumors,112,121,203,170

BraTS2021_00094_14_png.rf.3d141ccc3655ab04ab947cdbc135264f.jpg,240,240,tumors,122,42,211,111
BraTS2021_01531_16_png.rf.3d1fe6b286e87a9766831bfcc2432015.jpg,240,240,tumors,145,112,206,159
BraTS2021_01656_6_png.rf.3e774fc31f7e88e66826c0d169a7ad0b.jpg,240,240,tumors,76,81,137,128

BraTS2021_01317_14_png.rf.3e7e6560a5e4d632a033a9eba3028878.jpg,240,240,tumors,130,55,181,104

BraTS2021_01014_4_png.rf.3df909b130585b9da4538bd0e6117958.jpg,240,240,tumors,138,128,184,182

BraTS2021_01324_14_png.rf.3ee2226ba6d43c1b5dfc36591072aacf.jpg,240,240,tumors,51,56,157,150
BraTS2021_00674_20_png.rf.3e8c62185d4c331867bd849d387f50ad.jpg,240,240,tumors,101,67,166,113
BraTS2021_01576_21_png.rf.3e7b270e9190341342ccada4468f3ed9.jpg,240,240,tumors,130,45,201,104
